Dataset,AE100,AE50,LASSO,MIFS100,MIFS50,Relief100,Relief50,VAE,MRMR100,MRMR50
CDI,0.8878030393443926,0.8869470800015914,0.9152091538369732,0.9124161594462348,0.904874388351832,0.9107292039622866,0.9123099415204678,0.8617043103791224,0.902217448382862,0.8967693042129131
CIR,0.6602181818181819,0.6541575757575757,0.8102666666666666,0.7317696969696971,0.6941878787878787,0.7410060606060606,0.747909090909091,0.5233454545454546,0.8244848484848484,0.8371393939393938
CRC1,0.6674537837515687,0.6816772049388947,0.647012585627844,0.6188854041774468,0.6143967312425064,0.684867868436367,0.6830469910182789,0.6583781998695862,0.7022029826886265,0.7112081782040763
CRC2,0.7862323232323233,0.8206161616161616,0.7605656565656566,0.755016835016835,0.7403097643097644,0.7452457912457912,0.724936026936027,0.7188484848484847,0.7574949494949494,0.7504107744107743
CD1,0.7884914529914531,0.777017094017094,0.7968461538461539,0.7852083333333334,0.7856570512820514,0.7445416666666667,0.7423942307692308,0.7276602564102563,0.8069358974358976,0.7864935897435897
CD2,0.8379538590064907,0.8372379667116508,0.8215153267784846,0.8268498168498168,0.8370503181029495,0.818356789409421,0.8154385964912281,0.8568536726431464,0.845886511149669,0.8524619240408714
HIV,0.7404487894727521,0.7079064165913962,0.8336297221189096,0.7299470449675008,0.7193590492889149,0.6935680888369374,0.6986796663301631,0.609156970051184,0.7270227405557622,0.7363911765226784
IBD1,0.8077142857142857,0.791076923076923,0.8652527472527473,0.7618571428571428,0.7512307692307693,0.795956043956044,0.8065274725274726,0.7148131868131867,0.8225494505494505,0.818010989010989
IBD2,0.6196507936507937,0.6412722832722834,0.6842002442002442,0.6997875457875459,0.6942344322344323,0.6783101343101343,0.6647081807081807,0.6511501831501831,0.6979194139194139,0.6960976800976801
MHE,0.6883878787878789,0.652339393939394,0.7190545454545455,0.715709090909091,0.7109575757575759,0.4603999999999999,0.4565939393939394,0.6770909090909091,0.7651030303030304,0.7182545454545455
OB,0.906013986013986,0.8588986013986015,0.8649708624708626,0.7967336829836829,0.7416550116550117,0.7805069930069931,0.7816550116550115,0.8670804195804197,0.8790967365967366,0.8529137529137529
PAR1,0.6458775510204081,0.6635609977324262,0.6787174603174602,0.6227174603174603,0.5980698412698413,0.7001523809523811,0.6888,0.6340861678004535,0.7293079365079365,0.7130285714285712
PAR2,0.752940935306789,0.7291466541588493,0.7480359599749843,0.6963951775415189,0.6638307275380445,0.6861351539156416,0.6754132617608228,0.7196750052115906,0.7219447918838162,0.7212502605795288
PAR3,0.7568698458073458,0.7403335210210209,0.7596297066297066,0.7482480942480941,0.7206355971355972,0.7146946754446755,0.7081289847539847,0.6973088112150613,0.7804369946869947,0.7723749711249712
ART,0.6098344226579521,0.6368344226579521,0.6076601307189542,0.515921568627451,0.526954248366013,0.6717124183006535,0.6580915032679739,0.5590108932461874,0.6114771241830066,0.6000261437908497
